data_completa,data,semana,qtd_marmitas,cardapio,qtd_frango,qtd_carne,qtd_calabresa,qtd_linguica,qtd_arroz,qtd_feijao,qtd_macarao,ano,mes
2021-06-18 19:01:07.221,2021-06-18,Sexta,60,"Sopa de frango, abóbora, cenoura e macarrão.",5.0,,,,,,2.0,2021,6
2021-06-19 21:47:53.821,2021-06-19,Sábado,60,"Arroz, feijão, carne de panela e salada de abóbora com abobrinha.",,5.0,,,2.5,2.0,,2021,6
2021-06-21 18:21:20.519,2021-06-21,Segunda,60,"Arroz, Strogonoff de frango e batata palha.",5.0,,,,2.5,,,2021,6
2021-06-22 17:36:38.735,2021-06-22,Terça,60,"Arroz, feijão, salada de repolho Col cenoura e calabresa acebolada.",,,5.0,,2.5,2.0,,2021,6
2021-06-24 14:35:24.371,2021-06-23,Quarta,67,Macarrão com molho de frango.,5.0,,,,,,5.0,2021,6
2021-06-24 14:36:24.318,2021-06-24,Quinta,60,"Arroz, feijão, salada de repolho e frango com cenoura.",5.0,,,,2.5,2.0,,2021,6
,2021-06-25,Sexta,54,"Sopa de cenoura, repolho, abobrinha , carne e macarrão.",,5.0,,,,,2.0,2021,6
,2021-06-26,Sábado,65,"Arroz, feijão, salada de repolho com cenoura e carne de panela.",,5.0,,,2.5,2.0,,2021,6
2021-06-29 13:46:11.957,2021-06-28,Segunda,56,"Arroz, Strogonoff de frango e batata palha.",5.0,,,,2.5,,,2021,6
2021-06-29 13:47:24.968,2021-06-29,Terça,62,"Arroz, feijão, picadinho de carne e farofa de banana.",,5.0,,,2.5,2.0,,2021,6
2021-06-30 22:23:28.744,2021-06-30,Quarta,68,"Macarrão com molho de carne.
",,5.0,,,,,5.0,2021,6
2021-07-01 18:20:06.611,2021-07-01,Quinta,58,"Arroz,feijão, salada de repolho,cenoura ,tomate e picadinho de carne. ",,5.0,,,2.5,2.0,,2021,7
2021-07-03 19:22:14.051,2021-07-02,Sexta,56,"Sopa de abóbora com mandioquinha , calabresa e macarrão.",,,5.0,,,,2.0,2021,7
2021-07-03 19:22:54.068,2021-07-03,Sábado,58,"Arroz, feijão, salada de repolho e frango ao molho e azeitona.",5.0,,,,2.5,2.0,,2021,7
2021-08-01 22:30:42.050,2021-07-05,Segunda,60,"arroz, strogonoff de frango e batata palha",5.0,,,,2.5,,,2021,7
2021-08-01 22:31:30.524,2021-07-06,Terça,71,macarrao com molho de linguiça e azeitona,,,,5.0,,,5.0,2021,7
2021-08-01 22:32:42.420,2021-07-07,Quarta,60,"arroz ,feijao picdinho de carne com azeitona e salada de repolho com cenoura.",,5.0,,,2.5,2.0,,2021,7
2021-08-01 22:33:36.567,2021-07-08,Quinta,60,"arroz, feijao, picadinho de frango com azeitona e salada de repolho com cenoura.",5.0,,,,2.5,2.0,,2021,7
2021-08-01 22:34:22.547,2021-07-09,Sexta,60,"arroz, feijao, carne com mandioquinha e banana.",,5.0,,,2.5,2.0,,2021,7
2021-08-01 22:35:15.212,2021-07-10,Sábado,60,"sopa de frango com cenoura, repolho e macarrao.",5.0,,,,,,2.0,2021,7
2021-08-01 22:36:06.328,2021-07-12,Segunda,60,"arroz, feijao, frango ensopado e legumes no vapor.",5.0,,,,2.5,2.0,,2021,7
2021-08-01 22:37:02.175,2021-07-13,Terça,60,"arroz, feijao, picadinho de carne com frango e salada de repolho com cenoura.",2.5,2.5,,,2.5,2.0,,2021,7
2021-08-01 22:38:05.341,2021-07-14,Quarta,76,macarrao com molho de linguiça e azeitonas.,,,,5.0,,,5.0,2021,7
2021-08-01 22:39:09.620,2021-07-15,Quinta,63,"arroz, strogonoff de sobrecoxa de frango e batata palha.",5.0,,,,2.5,,,2021,7
2021-08-01 22:40:31.523,2021-07-17,Sexta,83,creme de mandioquinha com calabresa e macarrao,,,5.0,,,,2.0,2021,7
2021-08-01 22:41:12.953,2021-07-18,Sábado,67,"arroz, feijao, maionese e frango frito.",5.0,,,,2.5,2.0,,2021,7
2021-08-01 22:42:01.074,2021-07-19,Segunda,60,"arroz, strogonoff de frango com champignon e batata palha.",5.0,,,,2.5,,,2021,7
2021-08-01 22:42:54.172,2021-07-20,Terça,62,"arroz, feijao, pure de cabotia com leite de coco e picadinho de carne com azeitonas.",,5.0,,,2.5,2.0,,2021,7
2021-08-01 22:43:38.340,2021-07-21,Quarta,65,macarrao com molho de frango e azeitona.,5.0,,,,,,5.0,2021,7
2021-08-01 22:44:13.830,2021-07-22,Quinta,60,"arroz, feijao , calabresa e maionese.",,,5.0,,2.5,2.0,,2021,7
2021-08-01 22:44:55.155,2021-07-23,Sexta,60,"sopa de frango com repolho , cenoura e macarrao.",5.0,,,,,,2.0,2021,7
2021-08-01 22:45:25.081,2021-08-24,Sábado,70,macarrao com molho de frango.,5.0,,,,,,5.0,2021,8
2021-08-01 22:46:14.510,2021-07-26,Segunda,60,"arroz, feijao, seleta de legumes e frango ensopado com azeitonas.",5.0,,,,2.5,2.0,,2021,7
